2026-08-14 18:40:29,789 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\PFE_stock.csv
2026-08-14 18:40:29,838 | INFO | __main__ | Processing ABBV...
2026-08-14 18:40:29,838 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for ABBV...
2026-08-14 18:40:30,880 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\ABBV_stock.csv
2026-08-14 18:40:30,928 | INFO | __main__ | Processing MRK...
2026-08-14 18:40:30,928 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for MRK...
2026-08-14 18:40:31,985 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\MRK_stock.csv
2026-08-14 18:40:32,036 | INFO | __main__ | Processing TMO...
2026-08-14 18:40:32,036 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for TMO...
2026-08-14 18:40:32,988 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\TMO_stock.csv
2026-08-14 18:40:33,041 | INFO | __main__ | Processing DHR...
2026-08-14 18:40:33,044 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for DHR...
2026-08-14 18:40:33,960 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\DHR_stock.csv
2026-08-14 18:40:34,019 | INFO | __main__ | Processing BMY...
2026-08-14 18:40:34,019 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for BMY...
2026-08-14 18:40:34,998 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\BMY_stock.csv
2026-08-14 18:40:35,046 | INFO | __main__ | Processing AMGN...
2026-08-14 18:40:35,047 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for AMGN...
2026-08-14 18:40:35,980 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\AMGN_stock.csv
2026-08-14 18:40:36,026 | INFO | __main__ | Processing GILD...
2026-08-14 18:40:36,027 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for GILD...
2026-08-14 18:40:37,337 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\GILD_stock.csv
2026-08-14 18:40:37,387 | INFO | __main__ | Processing CVS...
2026-08-14 18:40:37,387 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for CVS...
2026-08-14 18:40:38,278 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\CVS_stock.csv
2026-08-14 18:40:38,342 | INFO | __main__ | Processing ISRG...
2026-08-14 18:40:38,342 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for ISRG...
2026-08-14 18:40:40,130 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\ISRG_stock.csv
2026-08-14 18:40:40,175 | INFO | __main__ | Processing MDT...
2026-08-14 18:40:40,175 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for MDT...
2026-08-14 18:40:41,107 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\MDT_stock.csv
2026-08-14 18:40:41,157 | INFO | __main__ | Processing WMT...
2026-08-14 18:40:41,157 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for WMT...
2026-08-14 18:40:42,260 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\WMT_stock.csv
2026-08-14 18:40:42,311 | INFO | __main__ | Processing COST...
2026-08-14 18:40:42,312 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for COST...
2026-08-14 18:40:43,277 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\COST_stock.csv
2026-08-14 18:40:43,337 | INFO | __main__ | Processing HD...
2026-08-14 18:40:43,338 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for HD...
2026-08-14 18:40:44,432 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\HD_stock.csv
2026-08-14 18:40:44,477 | INFO | __main__ | Processing MCD...
2026-08-14 18:40:44,477 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for MCD...
2026-08-14 18:40:45,752 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\MCD_stock.csv
2026-08-14 18:40:45,798 | INFO | __main__ | Processing NKE...
2026-08-14 18:40:45,798 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for NKE...
2026-08-14 18:40:46,775 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\NKE_stock.csv
2026-08-14 18:40:46,820 | INFO | __main__ | Processing SBUX...
2026-08-14 18:40:46,820 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for SBUX...
