Date,Close,High,Low,Open,Volume,Daily_Return,MA5,MA20
2025-12-05,278.26300048828125,280.6186397013617,277.53434330937836,280.01974631085085,47265800,-0.6840055245008081,282.05995483398436,274.2469757080078
2025-12-08,277.3746643066406,279.15136205700173,275.6378704438954,277.6142094762677,38211800,-0.3192433705098474,281.01988525390624,274.730078125
2025-12-09,276.6659851074219,279.5107061083118,276.4064879695729,277.6441787437343,32193300,-0.25549528865235205,279.2212280273437,275.1168609619141
2025-12-10,278.26300048828125,279.2312028389952,275.92734368017386,277.23491184461454,33038300,0.5772358970110858,278.14921875,275.29303283691405
2025-12-11,277.514404296875,279.07150890817053,273.3022288840155,278.5824273392719,33248000,-0.2690246960942222,277.6162109375,275.52060852050784
2025-12-12,277.763916015625,278.70217518025987,276.30663218031253,277.38461586894516,39532900,0.08990946591842519,277.5163940429687,275.78661346435547
2025-12-15,273.6016540527344,279.63046152672615,272.33402020742307,279.63046152672615,50409100,-1.4984890847580368,276.7617919921875,275.8714538574219
2025-12-16,274.1007385253906,274.9891026980292,271.2859911871425,272.3140798989353,37648600,0.18241281266524467,276.2487426757813,276.2282913208008
2025-12-17,271.33587646484375,275.6478724530811,271.13626563598973,274.50001118897205,50138700,-1.0087028861802017,274.8633178710937,276.44788360595703
2025-12-18,271.68524169921875,273.12257373871984,266.4549687260805,273.1025913325419,51630700,0.1287574790797219,273.6974853515625,276.62904663085936
2025-12-19,273.1625061035156,274.09077415448866,269.399477884542,271.6453053723066,144632000,0.5437411303821804,272.77720336914064,276.9993591308594
2025-12-22,270.4674987792969,273.37210596231955,270.00836035897595,272.3539780142796,36571800,-0.9865948891234266,272.15037231445314,276.9734085083008
2025-12-23,271.85491943359375,271.99467443806464,269.06012395403746,270.3377490962612,29642000,0.5129713035979311,271.7012084960937,276.7957366943359
2025-12-24,273.3022155761719,274.9192064044749,271.69521595033444,271.8349404799371,17910600,0.5323781322749355,272.0944763183594,276.63802947998045
2025-12-26,272.89300537109375,274.8593534534055,272.35399820928086,273.65160578690546,21521800,-0.14972809650131147,272.3360290527344,276.4309143066406
2025-12-29,273.2523498535156,273.8512128461511,271.8449608988494,272.1843267483383,23715200,0.13167962364342145,272.3539978027344,276.17688751220703
2025-12-30,272.57354736328125,273.57169281796894,271.77504318392386,272.30405905646904,22139600,-0.24841597541549465,272.77520751953125,275.6768142700195
2025-12-31,271.3558349609375,273.17246717497864,271.24605357156486,272.553621806917,27293600,-0.4467463604312272,272.675390625,274.9616424560547
2026-01-02,270.5074462890625,277.32476727085935,268.5011639041959,271.7551282774649,37838100,-0.312648029845064,272.11643676757814,274.3058624267578
2026-01-05,266.764404296875,271.00652312062255,265.64648609237463,270.1381413175191,45647200,-1.3837112595369017,270.8907165527344,273.63511047363284
2026-01-06,261.87347412109375,267.05385240251036,261.63392891626114,266.5048844877732,52352100,-1.833426835440255,268.61494140625,272.8156341552734
2026-01-07,259.84722900390625,263.1910228349833,259.3282042611396,262.7119324450406,48309800,-0.7737496605901173,266.069677734375,271.9392623901367
2026-01-08,258.55963134765625,258.80916773471864,255.22581364132833,256.5433578451618,50419300,-0.49552102640688656,263.51043701171875,271.03394470214846
2026-01-09,258.8890075683594,259.7274461787287,255.74485516422806,258.5995368285105,39997000,0.12738888084979916,261.18674926757814,270.0652450561523
2026-01-12,259.7673645019531,260.81540508500296,256.32375036738995,258.679389570116,45263800,0.3392793467145605,259.78734130859374,269.1778930664062
2026-01-13,260.5658874511719,261.3244878277737,257.9108470550362,258.24022168851656,45730800,0.307399257312313,259.52582397460935,268.31799163818357
2026-01-14,259.4779052734375,261.33447181199796,256.23393227813756,259.0087756526009,40019400,-0.4175458991876879,259.45195922851565,267.61180419921874
2026-01-15,257.7311706542969,260.55593980217856,256.57331808587395,260.16664839115424,39388600,-0.6731727764257678,259.28626708984376,266.79332580566404
2026-01-16,255.05612182617188,258.41986733264514,254.4572284259222,257.4217218192236,72142800,-1.0379221191344046,258.5196899414062,265.97933807373045
2026-01-20,246.2425079345703,254.31750190322293,242.9685916985444,252.26132447540706,80267500,-3.4555586545020445,255.8147186279297,264.707201385498
2026-01-21,247.1907501220703,251.09350304772093,244.72532928784554,248.23880604127606,54641700,0.38508468560267684,253.1396911621094,263.40861358642576
2026-01-22,247.8894500732422,250.53452965267718,247.68980878155546,248.737864640942,39708300,0.2826561879143208,250.8220001220703,262.279711151123
2026-01-23,247.58001708984375,248.94748685874615,244.22624741136653,246.86136630134166,41689000,-0.12482700788880585,248.7917694091797,261.0659660339355
2026-01-26,254.93637084960938,256.08423219515316,249.33677343540953,251.01365072947274,55969200,2.9713035188522863,248.7678192138672,260.1476737976074
2026-01-27,257.7910461425781,261.4642450011371,257.73115984508394,258.6894015269614,49648300,1.1197599163490057,251.07752685546876,259.39257583618166
2026-01-28,255.96444702148438,258.3799421919039,254.03801819206552,257.1721946066941,41288000,-0.7085580156587334,252.83226623535157,258.5281806945801
2026-01-29,257.801025390625,259.16847988830324,253.93820707645818,257.52154586161765,67253000,0.7175130728161117,254.81458129882813,257.78955459594727
2026-01-30,258.99884033203125,261.4143357105436,251.71235892004358,254.6968198516284,92443400,0.46462768702772994,257.0983459472656,257.171704864502
2026-02-02,269.50927734375,269.98836769074944,258.72928762151224,259.5477742456141,73913400,4.0581019583889155,260.01292724609374,257.12179641723634
2026-02-03,268.98028564453125,271.3758289780004,267.11372779647115,268.70080609664296,64394700,-0.19627958800989553,262.2507751464844,257.23259048461915
2026-02-04,275.97723388671875,278.432693698261,271.7850411492978,271.7850411492978,90545700,2.601286642781786,266.2533325195312,257.9377784729004
2026-02-05,275.3983459472656,278.98168486317746,272.72332314901723,277.6142303156022,52977400,-0.2097593092373451,269.7727966308594,258.71533432006834
2026-02-06,277.6042175292969,280.3890519626743,276.4164219647768,276.6060720438839,50453400,0.8009748840153375,273.4938720703125,259.6675636291504
2026-02-09,274.3672180175781,277.9439398399519,271.4499228389202,277.6541982366954,44623400,-1.166048390953256,274.4654602050781,260.4414741516113
2026-02-10,273.4280700683594,275.11651686144285,272.68876099546605,274.6369782150198,34376900,-0.3422959769044165,275.3550170898437,261.12450942993166
2026-02-11,275.24639892578125,279.92208361183503,274.1973776592452,274.44714753122867,51931300,0.6650117732854843,275.20885009765624,261.8585350036621
2026-02-12,261.4891052246094,275.46621856633783,259.94051360693726,275.3363333447182,81077200,-4.998173910671744,272.427001953125,261.9590950012207
2026-02-13,255.5445556640625,261.9886306947134,255.21485759663088,261.7688319830923,56290700,-2.2733450234726726,268.01506958007815,261.84976425170896
2026-02-17,263.6371154785156,266.0449008431299,255.30478047881587,257.8124646511843,58469100,3.1667901487565153,265.8690490722656,262.2788139343262
2026-02-18,264.106689453125,266.57441720150126,262.20844437502524,263.35737977838915,34203300,0.17811375828364895,264.00477294921876,263.1720230102539
2026-02-19,260.3401184082031,264.2365527856389,259.81060750150084,262.35827847824623,30845300,-1.4261551090285374,261.0235168457031,263.82949142456056
2026-02-20,264.3364562988281,264.5063132392292,257.9223826043077,258.73163460792017,42070500,1.5350449692731916,261.5929870605469,264.65184173583987
2026-02-23,265.9349670410156,269.1819753311392,263.13755670993424,263.24744081710827,37308200,0.6047257970275721,263.6710693359375,265.56958923339846
2026-02-24,271.8895263671875,274.6369951599546,267.46358073991865,267.61343657617186,47014600,2.239103564464129,265.32155151367186,266.41724700927733
2026-02-25,273.97760009765625,274.6869380517792,270.8005039088116,271.5298429675081,33714300,0.7679860855135612,267.2957336425781,267.22657470703126
2026-02-26,272.6987609863281,275.8558253670768,270.55071567552415,274.6969199809464,32345100,-0.46676776162442035,269.7674621582031,268.06329040527345
2026-02-27,263.93682861328125,272.5588900215503,262.6480379442022,272.5588900215503,72366500,-3.213044438249635,269.6875366210937,268.3700805664063
2026-03-02,264.476318359375,266.2846497598317,259.960490133898,262.16844722421786,41827900,0.20440108677830526,269.39580688476565,268.6439544677734
2026-03-03,263.5072326660156,265.31556422164516,259.8905695547566,263.23749216234586,38568900,-0.3664168116717992,267.71934814453124,268.3438522338867
2026-03-04,262.2783508300781,265.9050144519466,261.179387723623,264.4063951364299,39803100,-0.46635601744375865,265.37949829101564,268.0087554931641
2026-03-05,260.0504150390625,261.3192350446657,257.01320478174756,260.54995479568396,49658600,-0.8494547048829904,262.8498291015625,267.21241455078126
2026-03-06,257.2229919433594,258.53178361058343,254.13584003818684,258.39192833924307,41120000,-1.087259597443213,261.50706176757814,266.30364685058595
2026-03-09,259.6407775878906,260.9095975388004,253.44647267699952,255.45463216869055,38218500,0.9399570490431275,260.5399536132812,265.4054748535156
2026-03-10,260.58990478515625,262.2384104290217,256.71350175461305,257.4128391437035,30590800,0.36555398041986376,259.95648803710935,264.7166091918945
2026-03-11,260.5699157714844,261.888707997661,259.3110658747261,260.8496568052655,26218900,-0.007670678451010549,259.61480102539065,264.0737014770508
